                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7063,                 2.2079,                 1.6262,                0.55341,                0.53214,                0.52203,                0.27348,                 1.5384,                  1.526,                 1.4843,                0.07028,              0.0033022,              0.0033022
                      1,                 1.4628,                 1.4403,                 1.4064,                0.55041,                0.47068,                0.50524,                 0.2698,                  1.592,                 1.5912,                 1.4777,               0.040116,              0.0064713,              0.0064713
                      2,                 1.4544,                 1.3456,                 1.3614,                0.64036,                0.49818,                0.55025,                0.29108,                 1.6554,                 1.5946,                 1.4988,              0.0097869,              0.0094754,              0.0094754
                      3,                  1.491,                  1.336,                 1.3671,                0.68236,                0.56857,                0.62699,                0.34642,                 1.5626,                 1.3737,                 1.4125,              0.0092575,              0.0092575,              0.0092575
                      4,                 1.4979,                 1.3456,                 1.3869,                0.68129,                0.57866,                0.64194,                 0.3635,                 1.5328,                 1.3861,                 1.4159,              0.0092575,              0.0092575,              0.0092575
                      5,                 1.4812,                 1.3061,                 1.3783,                0.60662,                0.56282,                0.62114,                0.34779,                 1.5422,                 1.3467,                 1.4095,                0.00901,                0.00901,                0.00901
                      6,                 1.4495,                  1.249,                 1.3621,                0.70561,                0.62108,                0.69131,                0.39817,                 1.4761,                 1.3794,                  1.348,              0.0087625,              0.0087625,              0.0087625
                      7,                 1.4207,                 1.2084,                 1.3347,                0.76671,                0.62174,                0.72276,                0.42832,                 1.4476,                  1.186,                 1.3293,               0.008515,               0.008515,               0.008515
                      8,                 1.4047,                 1.1829,                 1.3278,                0.72267,                0.63002,                0.71578,                0.41633,                 1.4353,                 1.2476,                 1.3226,              0.0082675,              0.0082675,              0.0082675
                      9,                  1.378,                 1.1461,                 1.3152,                 0.7686,                 0.6402,                0.73285,                0.42276,                 1.4202,                 1.1585,                  1.329,                0.00802,                0.00802,                0.00802
                     10,                 1.3655,                 1.1342,                 1.3065,                 0.7644,                0.60347,                0.70989,                0.41548,                 1.4426,                 1.2442,                 1.3378,              0.0077725,              0.0077725,              0.0077725
                     11,                 1.3499,                 1.1063,                 1.2942,                 0.7407,                0.65746,                0.74021,                0.43814,                 1.4105,                  1.106,                 1.3171,               0.007525,               0.007525,               0.007525
                     12,                 1.3295,                 1.0719,                  1.278,                0.80463,                0.65512,                0.76181,                0.46469,                 1.3762,                 1.0705,                 1.3148,              0.0072775,              0.0072775,              0.0072775
                     13,                 1.3172,                 1.0639,                 1.2779,                0.75701,                0.67145,                0.75662,                0.45296,                 1.4023,                 1.0911,                 1.3041,                0.00703,                0.00703,                0.00703
                     14,                 1.3003,                 1.0346,                 1.2646,                0.77589,                0.66381,                0.76553,                0.46712,                 1.3316,                 1.0574,                 1.2691,              0.0067825,              0.0067825,              0.0067825
                     15,                 1.2861,                0.99152,                 1.2483,                 0.7968,                0.66492,                 0.7642,                0.46871,                 1.3839,                  1.063,                 1.3114,               0.006535,               0.006535,               0.006535
                     16,                 1.2586,                0.97032,                 1.2316,                0.75886,                0.66639,                0.75335,                0.46129,                 1.3678,                 1.0685,                 1.2896,              0.0062875,              0.0062875,              0.0062875
                     17,                 1.2561,                0.97218,                 1.2299,                0.79491,                0.68512,                0.76697,                 0.4727,                  1.361,                 1.0559,                 1.2769,                0.00604,                0.00604,                0.00604
                     18,                 1.2554,                0.95629,                 1.2305,                0.81036,                0.67242,                 0.7694,                0.47693,                 1.3426,                 1.0129,                 1.2854,              0.0057925,              0.0057925,              0.0057925
                     19,                 1.2332,                0.93989,                 1.2211,                0.77577,                 0.6901,                0.77421,                0.48157,                  1.329,                0.98789,                 1.2664,               0.005545,               0.005545,               0.005545
                     20,                 1.1888,                0.88634,                 1.1991,                0.81275,                0.70078,                0.79507,                0.49541,                 1.3324,                0.93971,                  1.266,              0.0052975,              0.0052975,              0.0052975
                     21,                 1.1855,                0.87679,                 1.1918,                0.80213,                0.68977,                0.79057,                0.49908,                 1.2886,                0.96313,                  1.241,                0.00505,                0.00505,                0.00505
                     22,                 1.1802,                0.88314,                 1.1954,                0.78253,                0.69014,                0.78207,                 0.4875,                 1.3035,                0.97049,                 1.2507,              0.0048025,              0.0048025,              0.0048025
                     23,                 1.1718,                0.86321,                  1.185,                0.78211,                0.70007,                0.77915,                0.48656,                 1.3288,                 1.0244,                 1.2677,               0.004555,               0.004555,               0.004555
                     24,                  1.155,                 0.8342,                 1.1667,                0.80956,                 0.7194,                0.79932,                0.50777,                 1.2936,                0.92613,                 1.2442,              0.0043075,              0.0043075,              0.0043075
                     25,                  1.127,                0.80884,                 1.1636,                 0.8251,                0.71453,                0.80557,                0.51124,                  1.311,                0.92425,                 1.2576,                0.00406,                0.00406,                0.00406
